dt,event,cnt_id,cnt_type,location_name,end_location_name
2006-01-30,Прибыл_свободным,TIMU5165088,40,Владивосток,
2006-01-30,Передан_на_погрузку,TIMU5165088,40,Владивосток,
2006-01-31,Прибыл_груженый,TIMU5165088,40,Владивосток,
2006-02-01,Отправлен_по_ЖД,TIMU5165088,40,Владивосток,Санкт-Петербург
2006-02-18,Прибыл_по_ЖД,TIMU5165088,40,Санкт-Петербург,
2006-02-20,Отправлен_грузополучателю,TIMU5165088,40,Санкт-Петербург,
2006-03-22,Прибыл_свободным,TIMU5165088,40,Санкт-Петербург,
2006-04-01,Передан_на_погрузку,TIMU5165088,40,Санкт-Петербург,
2006-04-15,Прибыл_груженый,TIMU5165088,40,Санкт-Петербург,
2006-04-16,Отправлен_по_ЖД,TIMU5165088,40,Санкт-Петербург,Москва
2006-04-20,Прибыл_по_ЖД,TIMU5165088,40,Москва,
2006-04-23,Отправлен_грузополучателю,TIMU5165088,40,Москва,
2006-05-02,Прибыл_свободным,TIMU5165088,40,Москва,
2006-05-02,Передан_на_погрузку,TIMU5165088,40,Москва,
2006-05-13,Прибыл_груженый,TIMU5165088,40,Москва,
2006-05-13,Отправлен_по_ЖД,TIMU5165088,40,Москва,Санкт-Петербург
2006-05-13,Прибыл_по_ЖД,TIMU5165088,40,Санкт-Петербург,
2006-05-14,Отправлен_грузополучателю,TIMU5165088,40,Санкт-Петербург,
2006-05-20,Прибыл_свободным,TIMU5165088,40,Санкт-Петербург,
2006-06-29,Передан_на_погрузку,TIMU5165088,40,Санкт-Петербург,
2006-07-28,Прибыл_груженый,TIMU5165088,40,Санкт-Петербург,
2006-07-29,Отправлен_по_ЖД,TIMU5165088,40,Санкт-Петербург,Владивосток
2006-08-16,Прибыл_по_ЖД,TIMU5165088,40,Владивосток,
2006-08-17,Отправлен_грузополучателю,TIMU5165088,40,Владивосток,
2006-08-29,Прибыл_свободным,TIMU5165088,40,Владивосток,
2006-09-20,Передан_на_погрузку,TIMU5165088,40,Владивосток,
2006-09-27,Прибыл_груженый,TIMU5165088,40,Владивосток,
2006-09-28,Отправлен_по_ЖД,TIMU5165088,40,Владивосток,Москва
2006-10-14,Прибыл_по_ЖД,TIMU5165088,40,Москва,
2006-10-14,Отправлен_грузополучателю,TIMU5165088,40,Москва,
2006-11-03,Прибыл_свободным,TIMU5165088,40,Москва,
2006-11-26,Передан_на_погрузку,TIMU5165088,40,Москва,
2006-12-06,Прибыл_груженый,TIMU5165088,40,Москва,
2006-12-07,Отправлен_по_ЖД,TIMU5165088,40,Москва,Владивосток
2006-12-20,Прибыл_по_ЖД,TIMU5165088,40,Владивосток,
2006-12-22,Отправлен_грузополучателю,TIMU5165088,40,Владивосток,
2007-01-19,Прибыл_свободным,TIMU5165088,40,Владивосток,
2007-02-07,Передан_на_погрузку,TIMU5165088,40,Владивосток,
2007-02-11,Прибыл_груженый,TIMU5165088,40,Владивосток,
2007-02-11,Отправлен_по_ЖД,TIMU5165088,40,Владивосток,Санкт-Петербург
2007-02-25,Прибыл_по_ЖД,TIMU5165088,40,Санкт-Петербург,
2007-02-27,Отправлен_грузополучателю,TIMU5165088,40,Санкт-Петербург,
2007-03-15,Прибыл_свободным,TIMU5165088,40,Санкт-Петербург,
2007-03-26,Передан_на_погрузку,TIMU5165088,40,Санкт-Петербург,
2007-04-01,Прибыл_груженый,TIMU5165088,40,Санкт-Петербург,
2007-04-04,Отправлен_по_ЖД,TIMU5165088,40,Санкт-Петербург,Москва
2007-04-04,Прибыл_по_ЖД,TIMU5165088,40,Москва,
2007-04-06,Отправлен_грузополучателю,TIMU5165088,40,Москва,
2007-04-06,Прибыл_свободным,TIMU5165088,40,Москва,
2007-05-05,Передан_на_погрузку,TIMU5165088,40,Москва,
2007-05-22,Прибыл_груженый,TIMU5165088,40,Москва,
2007-05-24,Отправлен_по_ЖД,TIMU5165088,40,Москва,Владивосток
2007-06-08,Прибыл_по_ЖД,TIMU5165088,40,Владивосток,
2007-06-09,Отправлен_грузополучателю,TIMU5165088,40,Владивосток,
2007-07-08,Прибыл_свободным,TIMU5165088,40,Владивосток,
2007-09-01,Передан_на_погрузку,TIMU5165088,40,Владивосток,
2007-09-07,Прибыл_груженый,TIMU5165088,40,Владивосток,
2007-09-09,Отправлен_по_ЖД,TIMU5165088,40,Владивосток,Санкт-Петербург
2007-09-25,Прибыл_по_ЖД,TIMU5165088,40,Санкт-Петербург,
2007-09-27,Отправлен_грузополучателю,TIMU5165088,40,Санкт-Петербург,
2007-10-08,Прибыл_свободным,TIMU5165088,40,Санкт-Петербург,
2007-10-19,Передан_на_погрузку,TIMU5165088,40,Санкт-Петербург,
2007-10-25,Прибыл_груженый,TIMU5165088,40,Санкт-Петербург,
2007-10-26,Отправлен_по_ЖД,TIMU5165088,40,Санкт-Петербург,Москва
2007-10-26,Прибыл_по_ЖД,TIMU5165088,40,Москва,
2007-10-28,Отправлен_грузополучателю,TIMU5165088,40,Москва,
2007-11-02,Прибыл_свободным,TIMU5165088,40,Москва,
2007-11-20,Передан_на_погрузку,TIMU5165088,40,Москва,
2007-11-27,Прибыл_груженый,TIMU5165088,40,Москва,
2007-11-28,Отправлен_по_ЖД,TIMU5165088,40,Москва,Владивосток
2007-12-14,Прибыл_по_ЖД,TIMU5165088,40,Владивосток,
2007-12-16,Отправлен_грузополучателю,TIMU5165088,40,Владивосток,
2006-01-27,Прибыл_свободным,ERKU3509749,20,Владивосток,
2006-01-30,Передан_на_погрузку,ERKU3509749,20,Владивосток,
2006-01-30,Прибыл_груженый,ERKU3509749,20,Владивосток,
2006-02-01,Отправлен_по_ЖД,ERKU3509749,20,Владивосток,Санкт-Петербург
2006-02-12,Прибыл_по_ЖД,ERKU3509749,20,Санкт-Петербург,
2006-02-12,Отправлен_грузополучателю,ERKU3509749,20,Санкт-Петербург,
2006-02-23,Прибыл_свободным,ERKU3509749,20,Санкт-Петербург,
2006-04-10,Передан_на_погрузку,ERKU3509749,20,Санкт-Петербург,
2006-04-22,Прибыл_груженый,ERKU3509749,20,Санкт-Петербург,
2006-04-25,Отправлен_по_ЖД,ERKU3509749,20,Санкт-Петербург,Владивосток
2006-05-14,Прибыл_по_ЖД,ERKU3509749,20,Владивосток,
2006-05-15,Отправлен_грузополучателю,ERKU3509749,20,Владивосток,
2006-05-15,Прибыл_свободным,ERKU3509749,20,Владивосток,
2006-06-17,Передан_на_погрузку,ERKU3509749,20,Владивосток,
2006-06-24,Прибыл_груженый,ERKU3509749,20,Владивосток,
2006-06-26,Отправлен_по_ЖД,ERKU3509749,20,Владивосток,Москва
2006-07-07,Прибыл_по_ЖД,ERKU3509749,20,Москва,
2006-07-08,Отправлен_грузополучателю,ERKU3509749,20,Москва,
2006-07-22,Прибыл_свободным,ERKU3509749,20,Москва,
2006-07-28,Передан_на_погрузку,ERKU3509749,20,Москва,
2006-08-09,Прибыл_груженый,ERKU3509749,20,Москва,
2006-08-11,Отправлен_по_ЖД,ERKU3509749,20,Москва,Владивосток
2006-08-24,Прибыл_по_ЖД,ERKU3509749,20,Владивосток,
2006-08-24,Отправлен_грузополучателю,ERKU3509749,20,Владивосток,
2006-09-23,Прибыл_свободным,ERKU3509749,20,Владивосток,
2006-10-14,Передан_на_погрузку,ERKU3509749,20,Владивосток,
2006-10-24,Прибыл_груженый,ERKU3509749,20,Владивосток,
2006-10-27,Отправлен_по_ЖД,ERKU3509749,20,Владивосток,Санкт-Петербург
2006-11-09,Прибыл_по_ЖД,ERKU3509749,20,Санкт-Петербург,
2006-11-10,Отправлен_грузополучателю,ERKU3509749,20,Санкт-Петербург,
2006-11-14,Прибыл_свободным,ERKU3509749,20,Санкт-Петербург,
2006-11-19,Передан_на_погрузку,ERKU3509749,20,Санкт-Петербург,
2006-11-20,Прибыл_груженый,ERKU3509749,20,Санкт-Петербург,
2006-11-21,Отправлен_по_ЖД,ERKU3509749,20,Санкт-Петербург,Владивосток
2006-12-11,Прибыл_по_ЖД,ERKU3509749,20,Владивосток,
2006-12-13,Отправлен_грузополучателю,ERKU3509749,20,Владивосток,
2006-12-19,Прибыл_свободным,ERKU3509749,20,Владивосток,
2006-12-20,Передан_на_погрузку,ERKU3509749,20,Владивосток,
2007-01-01,Прибыл_груженый,ERKU3509749,20,Владивосток,
2007-01-03,Отправлен_по_ЖД,ERKU3509749,20,Владивосток,Москва
2007-01-17,Прибыл_по_ЖД,ERKU3509749,20,Москва,
2007-01-20,Отправлен_грузополучателю,ERKU3509749,20,Москва,
2007-01-30,Прибыл_свободным,ERKU3509749,20,Москва,
2007-02-28,Передан_на_погрузку,ERKU3509749,20,Москва,
2007-03-14,Прибыл_груженый,ERKU3509749,20,Москва,
2007-03-16,Отправлен_по_ЖД,ERKU3509749,20,Москва,Санкт-Петербург
2007-03-16,Прибыл_по_ЖД,ERKU3509749,20,Санкт-Петербург,
2007-03-16,Отправлен_грузополучателю,ERKU3509749,20,Санкт-Петербург,
2007-04-01,Прибыл_свободным,ERKU3509749,20,Санкт-Петербург,
2007-04-13,Передан_на_погрузку,ERKU3509749,20,Санкт-Петербург,
2007-04-26,Прибыл_груженый,ERKU3509749,20,Санкт-Петербург,
2007-04-30,Отправлен_по_ЖД,ERKU3509749,20,Санкт-Петербург,Москва
2007-05-04,Прибыл_по_ЖД,ERKU3509749,20,Москва,
2007-05-06,Отправлен_грузополучателю,ERKU3509749,20,Москва,
2007-05-19,Прибыл_свободным,ERKU3509749,20,Москва,
2007-07-21,Передан_на_погрузку,ERKU3509749,20,Москва,
2007-08-08,Прибыл_груженый,ERKU3509749,20,Москва,
2007-08-11,Отправлен_по_ЖД,ERKU3509749,20,Москва,Санкт-Петербург
2007-08-11,Прибыл_по_ЖД,ERKU3509749,20,Санкт-Петербург,
2007-08-13,Отправлен_грузополучателю,ERKU3509749,20,Санкт-Петербург,
2007-08-15,Прибыл_свободным,ERKU3509749,20,Санкт-Петербург,
2007-09-26,Передан_на_погрузку,ERKU3509749,20,Санкт-Петербург,
2007-10-17,Прибыл_груженый,ERKU3509749,20,Санкт-Петербург,
2007-10-18,Отправлен_по_ЖД,ERKU3509749,20,Санкт-Петербург,Москва
2007-10-21,Прибыл_по_ЖД,ERKU3509749,20,Москва,
2007-10-24,Отправлен_грузополучателю,ERKU3509749,20,Москва,
2007-10-25,Прибыл_свободным,ERKU3509749,20,Москва,
2007-12-02,Передан_на_погрузку,ERKU3509749,20,Москва,
2007-12-20,Прибыл_груженый,ERKU3509749,20,Москва,
2007-12-22,Отправлен_по_ЖД,ERKU3509749,20,Москва,Санкт-Петербург
2007-12-22,Прибыл_по_ЖД,ERKU3509749,20,Санкт-Петербург,
2007-12-25,Отправлен_грузополучателю,ERKU3509749,20,Санкт-Петербург,
2006-01-29,Прибыл_свободным,CRTU2183954,40,Санкт-Петербург,
2006-01-29,Передан_на_погрузку,CRTU2183954,40,Санкт-Петербург,
2006-02-15,Прибыл_груженый,CRTU2183954,40,Санкт-Петербург,
2006-02-16,Отправлен_по_ЖД,CRTU2183954,40,Санкт-Петербург,Москва
2006-02-19,Прибыл_по_ЖД,CRTU2183954,40,Москва,
2006-02-22,Отправлен_грузополучателю,CRTU2183954,40,Москва,
2006-03-13,Прибыл_свободным,CRTU2183954,40,Москва,
2006-04-08,Передан_на_погрузку,CRTU2183954,40,Москва,
2006-04-16,Прибыл_груженый,CRTU2183954,40,Москва,
2006-04-17,Отправлен_по_ЖД,CRTU2183954,40,Москва,Владивосток
2006-05-03,Прибыл_по_ЖД,CRTU2183954,40,Владивосток,
2006-05-03,Отправлен_грузополучателю,CRTU2183954,40,Владивосток,
2006-05-15,Прибыл_свободным,CRTU2183954,40,Владивосток,
2006-06-12,Передан_на_погрузку,CRTU2183954,40,Владивосток,
2006-06-19,Прибыл_груженый,CRTU2183954,40,Владивосток,
2006-06-21,Отправлен_по_ЖД,CRTU2183954,40,Владивосток,Санкт-Петербург
2006-07-10,Прибыл_по_ЖД,CRTU2183954,40,Санкт-Петербург,
2006-07-10,Отправлен_грузополучателю,CRTU2183954,40,Санкт-Петербург,
2006-07-27,Прибыл_свободным,CRTU2183954,40,Санкт-Петербург,
2006-08-29,Передан_на_погрузку,CRTU2183954,40,Санкт-Петербург,
2006-09-12,Прибыл_груженый,CRTU2183954,40,Санкт-Петербург,
2006-09-13,Отправлен_по_ЖД,CRTU2183954,40,Санкт-Петербург,Владивосток
2006-09-29,Прибыл_по_ЖД,CRTU2183954,40,Владивосток,
2006-09-29,Отправлен_грузополучателю,CRTU2183954,40,Владивосток,
2006-09-29,Прибыл_свободным,CRTU2183954,40,Владивосток,
2006-11-23,Передан_на_погрузку,CRTU2183954,40,Владивосток,
2006-11-23,Прибыл_груженый,CRTU2183954,40,Владивосток,
2006-11-26,Отправлен_по_ЖД,CRTU2183954,40,Владивосток,Москва
2006-12-09,Прибыл_по_ЖД,CRTU2183954,40,Москва,
2006-12-11,Отправлен_грузополучателю,CRTU2183954,40,Москва,
2006-12-18,Прибыл_свободным,CRTU2183954,40,Москва,
2006-12-29,Передан_на_погрузку,CRTU2183954,40,Москва,
2007-01-09,Прибыл_груженый,CRTU2183954,40,Москва,
2007-01-10,Отправлен_по_ЖД,CRTU2183954,40,Москва,Владивосток
2007-01-23,Прибыл_по_ЖД,CRTU2183954,40,Владивосток,
2007-01-25,Отправлен_грузополучателю,CRTU2183954,40,Владивосток,
2007-01-25,Прибыл_свободным,CRTU2183954,40,Владивосток,
2007-02-06,Передан_на_погрузку,CRTU2183954,40,Владивосток,
2007-02-13,Прибыл_груженый,CRTU2183954,40,Владивосток,
2007-02-14,Отправлен_по_ЖД,CRTU2183954,40,Владивосток,Санкт-Петербург
2007-02-25,Прибыл_по_ЖД,CRTU2183954,40,Санкт-Петербург,
